Date,Open,High,Low,Close,Adj Close,Volume
2020-12-23,107.160004,107.930000,106.790001,106.790001,103.520988,884700
2020-12-24,107.220001,107.690002,106.940002,107.540001,104.248032,340400
2020-12-28,108.489998,109.849998,107.379997,109.779999,106.419456,1822900
2020-12-29,109.629997,110.559998,109.400002,109.449997,106.099556,1818300
2020-12-30,109.349998,110.660004,109.330002,109.510002,106.157738,1267900
2020-12-31,108.739998,109.180000,107.379997,108.559998,105.236801,1651700
2021-01-04,109.019997,109.019997,104.860001,105.820000,102.580681,2058200
2021-01-05,105.639999,106.349998,105.199997,105.830002,102.590385,1475300
2021-01-06,105.629997,106.699997,105.389999,106.410004,103.152626,1352700
2021-01-07,106.500000,106.989998,105.279999,105.599998,102.367416,2222900
2021-01-08,105.809998,107.449997,105.620003,107.150002,103.869965,1252200
2021-01-11,106.800003,108.040001,106.589996,107.669998,104.374054,1329100
2021-01-12,107.489998,108.449997,106.480003,107.669998,104.374054,1182600
2021-01-13,107.120003,107.730003,106.279999,107.150002,103.869965,1538800
2021-01-14,107.779999,109.660004,107.309998,107.779999,104.480682,1497600
2021-01-15,107.519997,107.519997,106.000000,106.620003,103.356194,1163500
2021-01-19,106.959999,108.000000,106.750000,107.389999,104.102623,1748400
2021-01-20,107.650002,109.629997,107.419998,109.410004,106.060791,1543700
2021-01-21,109.500000,109.500000,107.870003,107.879997,104.577621,1199400
2021-01-22,107.360001,107.610001,106.070000,107.089996,103.811806,951400
2021-01-25,106.290001,106.379997,104.260002,105.260002,102.037834,1495200
2021-01-26,105.650002,107.230003,103.930000,106.339996,103.084763,1834400
2021-01-27,105.540001,105.660004,101.790001,102.019997,98.897011,1914700
2021-01-28,102.250000,104.199997,102.080002,102.529999,99.391396,1827300
2021-01-29,102.089996,103.239998,101.180000,101.489998,98.383240,1901300
2021-02-01,102.239998,103.709999,101.639999,103.059998,99.905174,1782200
2021-02-02,104.309998,106.919998,103.639999,106.300003,103.045998,1999800
2021-02-03,105.790001,106.150002,104.730003,104.730003,101.524063,1606800
2021-02-04,105.440002,105.879997,102.849998,102.989998,99.837311,2777000
2021-02-05,103.349998,105.889999,103.349998,105.339996,102.115379,2266100
2021-02-08,104.820000,105.110001,102.790001,103.360001,100.195984,1947000
2021-02-09,103.410004,103.959999,102.250000,103.120003,99.963333,1598500
2021-02-10,103.779999,105.339996,102.989998,104.820000,101.611305,2005200
2021-02-11,104.750000,105.980003,104.260002,105.480003,102.741188,1791200
2021-02-12,105.449997,105.900002,104.529999,105.470001,102.731438,1163800
2021-02-16,105.669998,106.180000,104.970001,105.599998,102.858063,1904300
2021-02-17,104.739998,105.430000,103.949997,104.339996,101.630768,2263200
2021-02-18,103.930000,105.889999,103.930000,105.370003,102.634041,1485600
2021-02-19,105.529999,106.059998,104.930000,105.129997,102.400269,1726800
2021-02-22,104.419998,105.540001,103.760002,105.010002,102.283386,2102700
2021-02-23,105.599998,106.730003,103.940002,104.650002,101.932724,1795800
2021-02-24,104.570000,105.070000,103.709999,104.680000,101.961952,1704200
2021-02-25,104.650002,105.019997,103.879997,104.699997,101.981430,1751800
2021-02-26,105.220001,105.279999,103.209999,103.529999,100.841805,2018900
2021-03-01,104.010002,105.860001,103.970001,104.510002,101.796356,1446300
2021-03-02,104.269997,105.489998,103.720001,104.739998,102.020393,2450800
2021-03-03,104.769997,105.160004,103.480003,103.510002,100.822334,1740700
2021-03-04,103.699997,104.349998,101.959999,103.570000,100.880775,1789200
2021-03-05,103.800003,104.800003,101.940002,104.330002,101.621048,1638000
2021-03-08,104.500000,105.440002,104.089996,104.139999,101.435982,2036900
2021-03-09,104.480003,104.779999,102.650002,102.680000,100.013885,2502600
2021-03-10,103.199997,105.209999,102.800003,104.610001,101.893784,1995500
2021-03-11,105.080002,105.779999,104.480003,104.629997,101.913254,1846100
2021-03-12,104.930000,105.410004,104.110001,104.809998,102.088577,1562800
2021-03-15,105.239998,108.010002,105.120003,107.989998,105.186012,1954900
2021-03-16,108.000000,109.139999,107.620003,108.800003,105.974991,2289500
2021-03-17,108.800003,111.680000,108.260002,111.019997,108.137314,2707800
2021-03-18,110.809998,110.970001,108.269997,108.309998,105.497688,1645400
2021-03-19,108.480003,109.529999,107.570000,107.959999,105.156784,3184200
2021-03-22,107.779999,108.980003,107.629997,108.750000,105.926262,1915800
2021-03-23,107.959999,108.379997,107.449997,108.000000,105.195747,1473900
2021-03-24,108.000000,108.839996,107.080002,107.080002,104.299644,1198900
2021-03-25,107.080002,107.500000,106.010002,107.379997,104.591843,1430400
2021-03-26,107.949997,108.139999,106.290001,108.059998,105.254189,1391400
2021-03-29,108.000000,109.970001,107.080002,109.209999,106.374329,1717900
2021-03-30,108.250000,110.680000,108.250000,109.769997,106.919785,1694000
2021-03-31,109.199997,109.480003,108.150002,108.180000,105.371063,1604400
2021-04-01,108.669998,109.970001,107.989998,109.800003,106.949005,927800
2021-04-05,110.070000,111.290001,109.949997,110.639999,107.767204,1239200
2021-04-06,111.400002,114.699997,111.279999,114.080002,111.117889,2280000
2021-04-07,113.760002,114.639999,113.589996,114.050003,111.088661,1095600
2021-04-08,113.779999,114.669998,113.400002,114.660004,111.682816,1216200
2021-04-09,114.779999,114.970001,113.599998,114.959999,111.975029,1042100
2021-04-12,115.000000,116.550003,114.989998,116.419998,113.397125,1541900
2021-04-13,116.470001,117.989998,116.129997,117.449997,114.400368,1462000
2021-04-14,117.529999,118.830002,117.430000,118.160004,115.091942,1353400
2021-04-15,118.470001,118.970001,117.250000,117.610001,114.556229,1243800
2021-04-16,118.639999,118.639999,117.720001,118.059998,114.994530,1586500
2021-04-19,118.379997,118.709999,117.150002,117.709999,114.653610,768500
2021-04-20,117.110001,118.080002,116.919998,117.959999,114.897125,827500
2021-04-21,117.760002,118.269997,117.169998,117.449997,114.400368,846600
2021-04-22,118.180000,118.529999,117.480003,117.820000,114.760773,829600
2021-04-23,117.730003,118.190002,117.339996,117.720001,114.663361,1097600
2021-04-26,117.949997,117.949997,115.360001,115.680000,112.676331,2121100
2021-04-27,116.040001,116.500000,115.800003,116.410004,113.387383,1082000
2021-04-28,115.910004,118.699997,115.500000,117.570000,114.517250,1789700
2021-04-29,118.000000,119.230003,117.739998,118.910004,115.822472,2055800
2021-04-30,118.919998,119.919998,118.360001,119.519997,116.416626,1863900
2021-05-03,120.000000,120.680000,119.930000,119.980003,116.864693,1087200
2021-05-04,119.910004,120.709999,119.139999,119.370003,116.270515,1594300
2021-05-05,119.519997,121.389999,119.059998,121.089996,117.945847,1428400
2021-05-06,121.849998,122.410004,120.570000,121.290001,118.140671,1190200
2021-05-07,121.269997,122.370003,121.099998,121.230003,118.082222,1022400
2021-05-10,121.570000,122.730003,121.290001,121.919998,118.754311,1039200
2021-05-11,122.110001,122.110001,118.309998,119.150002,116.056236,2750100
2021-05-12,118.779999,119.110001,116.919998,117.150002,114.108170,1617100
2021-05-13,117.279999,118.779999,117.279999,118.089996,115.023743,1470800
2021-05-14,118.379997,119.709999,118.349998,119.269997,116.173111,1241900
2021-05-17,119.330002,119.489998,117.760002,118.650002,115.569214,1181600
2021-05-18,118.970001,120.050003,118.919998,119.290001,116.192596,1426300
2021-05-19,118.230003,119.059998,117.389999,118.709999,115.627655,1624400
2021-05-20,118.820000,120.269997,118.709999,119.940002,116.825714,1242200
2021-05-21,120.250000,120.550003,119.470001,119.709999,116.601692,2184700
2021-05-24,120.160004,121.599998,119.980003,120.519997,117.390663,1460300
2021-05-25,121.000000,121.290001,120.360001,120.599998,117.468582,1536200
2021-05-26,120.790001,120.930000,120.029999,120.489998,117.361427,2496500
2021-05-27,120.400002,120.489998,119.300003,120.089996,117.459244,2226600
2021-05-28,120.099998,120.320000,119.570000,119.970001,117.341881,1389600
2021-06-01,121.000000,121.000000,119.620003,119.900002,117.273415,1242700
2021-06-02,120.010002,120.709999,119.139999,119.239998,116.627869,2240600
2021-06-03,118.440002,119.029999,117.180000,118.720001,116.119263,1690100
2021-06-04,119.500000,119.629997,118.260002,118.769997,116.168159,1080500
2021-06-07,118.879997,119.129997,117.779999,118.320000,115.728027,1104500
2021-06-08,118.629997,119.959999,118.470001,119.059998,116.451805,1448900
2021-06-09,119.160004,119.489998,117.480003,117.529999,114.955330,2053000
2021-06-10,117.790001,118.720001,117.260002,118.709999,116.109482,1310200
2021-06-11,119.019997,120.169998,118.889999,119.650002,117.028885,2077900
2021-06-14,119.269997,119.550003,117.410004,118.059998,115.473717,2266200
2021-06-15,118.199997,118.650002,117.730003,118.570000,115.972549,1177700
2021-06-16,118.879997,118.879997,117.250000,118.139999,115.551979,1394400
2021-06-17,118.139999,118.459999,116.320000,116.839996,114.280441,1215800
2021-06-18,115.720001,116.070000,114.519997,114.639999,112.128639,3951000
2021-06-21,115.500000,116.830002,114.900002,116.760002,114.202202,1486800
2021-06-22,117.099998,117.660004,116.410004,117.500000,114.925987,1293500
2021-06-23,117.529999,117.639999,116.809998,116.940002,114.378265,1407600
2021-06-24,117.580002,117.940002,116.889999,116.989998,114.427170,1706200
2021-06-25,116.699997,117.660004,116.519997,117.250000,114.681465,5229900
2021-06-28,116.900002,117.070000,115.419998,116.110001,113.566452,1662200
2021-06-29,116.480003,116.559998,115.419998,115.559998,113.028488,1187000
2021-06-30,115.440002,115.879997,114.510002,115.029999,112.510101,1474300
2021-07-01,115.489998,116.440002,115.360001,116.010002,113.468628,1847500
2021-07-02,116.430000,117.080002,116.029999,116.949997,114.388039,867700
2021-07-06,117.440002,117.440002,115.629997,116.250000,113.703377,963300
2021-07-07,115.970001,117.900002,115.690002,117.820000,115.238983,1182400
2021-07-08,116.699997,117.860001,116.379997,117.320000,114.749939,1122700
2021-07-09,118.360001,118.849998,117.879997,118.580002,115.982338,999900
2021-07-12,118.029999,118.260002,117.360001,117.870003,115.287888,1001900
